ID,Espèce,Chemin d'accès,Classe,Image_nettoyee
european-gray-wolf-canis-lupus-lupus-footprint-on-sandy-ground-germany-CNY411,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\european-gray-wolf-canis-lupus-lupus-footprint-on-sandy-ground-germany-CNY411.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\european-gray-wolf-canis-lupus-lupus-footprint-on-sandy-ground-germany-CNY411.jpg
rabbit-tracks-snow-600w-2222260461,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-snow-600w-2222260461.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-snow-600w-2222260461.jpg
a-tape-measure-is-used-to-measure-the-size-of-wolf-tracks-in-banff-CP99K3,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\a-tape-measure-is-used-to-measure-the-size-of-wolf-tracks-in-banff-CP99K3.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\a-tape-measure-is-used-to-measure-the-size-of-wolf-tracks-in-banff-CP99K3.jpg
cat-footprints-on-cement-concrete-with-blue-background-photo,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\cat-footprints-on-cement-concrete-with-blue-background-photo.jpeg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\cat-footprints-on-cement-concrete-with-blue-background-photo.jpg
Red-Fox-Tracks-6,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Red-Fox-Tracks-6.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Red-Fox-Tracks-6.jpg
original_2,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_2.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_2.jpg
rhad4p,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\rhad4p.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\rhad4p.jpg
Housecat-Tracks-2 (1),Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\Housecat-Tracks-2 (1).jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\Housecat-Tracks-2 (1).jpg
htcm8h,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\htcm8h.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\htcm8h.jpg
cf280t,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cf280t.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cf280t.jpg
Red-Fox-Tracks-(5),Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Red-Fox-Tracks-(5).jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Red-Fox-Tracks-(5).jpg
large,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\large.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\large.jpg
360_F_371671229_42n10S0UTOFlvLrOUteFkm8ZtbNvOG4J2,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\360_F_371671229_42n10S0UTOFlvLrOUteFkm8ZtbNvOG4J2.webp,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\360_F_371671229_42n10S0UTOFlvLrOUteFkm8ZtbNvOG4J2.jpg
Muskrat-Tracks-2,Rat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Rat\Muskrat-Tracks-2.jpg,9,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Rat\Muskrat-Tracks-2.jpg
bxxe2a,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\bxxe2a.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\bxxe2a.jpg
rabbit-paw-tracks-winter-forest-600w-2370319579,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-paw-tracks-winter-forest-600w-2370319579.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-paw-tracks-winter-forest-600w-2370319579.jpg
cnxh49,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\cnxh49.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\cnxh49.jpg
original_4,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_4.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_4.jpg
k3w1tb,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\k3w1tb.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\k3w1tb.jpg
rabbit-tracks-201611867,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-201611867.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-201611867.jpg
original (3),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (3).jpeg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (3).jpg
christopher-eden-YI7SRzLJHT4-unsplash,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\christopher-eden-YI7SRzLJHT4-unsplash.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\christopher-eden-YI7SRzLJHT4-unsplash.jpg
Red-Fox-Hind-Tracks,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Red-Fox-Hind-Tracks.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Red-Fox-Hind-Tracks.jpg
wolf-track-in-snow-2FP77N4,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-track-in-snow-2FP77N4.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-track-in-snow-2FP77N4.jpg
wolf-tracks-in-the-snow-on-fountain-freight-road-at-the-yellowstone-M0K5HR,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-the-snow-on-fountain-freight-road-at-the-yellowstone-M0K5HR.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-the-snow-on-fountain-freight-road-at-the-yellowstone-M0K5HR.jpg
2f5twf9,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\2f5twf9.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\2f5twf9.jpg
ea6fg7,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\ea6fg7.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\ea6fg7.jpg
eps-animal-rabbit-white-snow-field-building-nice-path-track-winter-138383584,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\eps-animal-rabbit-white-snow-field-building-nice-path-track-winter-138383584.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\eps-animal-rabbit-white-snow-field-building-nice-path-track-winter-138383584.jpg
Red-Fox-Tracks-(3),Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Red-Fox-Tracks-(3).jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Red-Fox-Tracks-(3).jpg
fbmf2w,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\fbmf2w.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\fbmf2w.jpg
j711k5,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\j711k5.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\j711k5.jpg
refjxx,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\refjxx.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\refjxx.jpg
pdy9ca,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\pdy9ca.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\pdy9ca.jpg
rabbit-track-snow-600w-1867401574,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-track-snow-600w-1867401574.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-track-snow-600w-1867401574.jpg
Coyote-Hind-Track,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Hind-Track.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Hind-Track.jpg
original_11,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_11.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_11.jpg
wolf-tracks-GKFRC3,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-GKFRC3.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-GKFRC3.jpg
original (1),Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\original (1).jpeg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\original (1).jpg
b1ef3ba53b499f762f7871bc213727d4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\b1ef3ba53b499f762f7871bc213727d4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\b1ef3ba53b499f762f7871bc213727d4.jpg
rabbit-footprints-snow-trailing-woods-closeup-animal-visible-flakes-123535672,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-footprints-snow-trailing-woods-closeup-animal-visible-flakes-123535672.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-footprints-snow-trailing-woods-closeup-animal-visible-flakes-123535672.jpg
Gray-Wolf-Tracks-(3),Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\Gray-Wolf-Tracks-(3).jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\Gray-Wolf-Tracks-(3).jpg
d1crf6,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\d1crf6.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\d1crf6.jpg
rabbit-tracks-snow-376056732,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-snow-376056732.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-snow-376056732.jpg
squirrel-tracks-snow-600w-517613530,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\squirrel-tracks-snow-600w-517613530.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\squirrel-tracks-snow-600w-517613530.jpg
original_13,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_13.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_13.jpg
Hispid-Cotton-Rat-Tracks,Rat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks.jpg,9,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Rat\Hispid-Cotton-Rat-Tracks.jpg
original_4,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_4.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_4.jpg
24147060-chien-empreinte-dans-le-sable-a-plage-gratuit-photo4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\24147060-chien-empreinte-dans-le-sable-a-plage-gratuit-photo4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\24147060-chien-empreinte-dans-le-sable-a-plage-gratuit-photo4.jpg
Coyote-Tracks-(5),Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-(5).jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-(5).jpg
Coyote-and-Bobcat-Tracks,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-and-Bobcat-Tracks.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-and-Bobcat-Tracks.jpg
g57rn8,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\g57rn8.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\g57rn8.jpg
close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2RYP21G,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2RYP21G.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2RYP21G.jpg
original_7,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_7.jpeg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_7.jpg
rabbit-tracks-new-snow-600w-2400460337,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-new-snow-600w-2400460337.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-new-snow-600w-2400460337.jpg
Beaver-Tracks-(1),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\Beaver-Tracks-(1).jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\Beaver-Tracks-(1).jpg
Gray-Fox-Tracks-8,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Gray-Fox-Tracks-8.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Gray-Fox-Tracks-8.jpg
hmkj4y,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\hmkj4y.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\hmkj4y.jpg
original (2),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (2).jpeg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (2).jpg
original_6,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_6.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_6.jpg
stock-photo-squirrel-tracks-in-the-snow-517613530,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\stock-photo-squirrel-tracks-in-the-snow-517613530.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\stock-photo-squirrel-tracks-in-the-snow-517613530.jpg
17521599-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo.JPG4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\17521599-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo.JPG4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\17521599-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo.JPG4.jpg
Coyote-Tracks-(11),Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-(11).jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-(11).jpg
15653071-voyage-a-l-ile-de-phuket-thailande-les-empreintes-de-chien-sur-la-plage-de-sable-photo4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\15653071-voyage-a-l-ile-de-phuket-thailande-les-empreintes-de-chien-sur-la-plage-de-sable-photo4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\15653071-voyage-a-l-ile-de-phuket-thailande-les-empreintes-de-chien-sur-la-plage-de-sable-photo4.jpg
original (6),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (6).jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (6).jpg
original_14,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_14.jpeg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_14.jpg
rabbit-tracks-fresh-snow-spring-showing-track-as-has-hopped-past-pine-cone-1272315466,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-fresh-snow-spring-showing-track-as-has-hopped-past-pine-cone-1272315466.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-fresh-snow-spring-showing-track-as-has-hopped-past-pine-cone-1272315466.jpg
